Year,Month,Day,Hour,DNI
2024,2,15,10,905.56
2024,2,15,11,780.86
2024,2,15,12,526.03
2024,2,15,13,473.79
2024,2,15,14,334.56
2024,2,15,15,269.53
2024,2,15,16,108.86
2024,2,15,17,0
2024,2,15,18,0
2024,2,15,19,0
2024,2,15,20,0
2024,2,15,21,0
2024,2,15,22,0
2024,2,15,23,0
2024,2,16,0,0
2024,2,16,1,0
2024,2,16,2,0
2024,2,16,3,0
2024,2,16,4,0
2024,2,16,5,0
2024,2,16,6,0
2024,2,16,7,1.4
2024,2,16,8,9.87
2024,2,16,9,20.67
2024,2,16,10,21.4
2024,2,16,11,9.33
2024,2,16,12,14.27
2024,2,16,13,372.37
2024,2,16,14,318.91
2024,2,16,15,188.15
2024,2,16,16,58.39
2024,2,16,17,0
2024,2,16,18,0
2024,2,16,19,0
2024,2,16,20,0
2024,2,16,21,0
2024,2,16,22,0
2024,2,16,23,0
2024,2,17,0,0
2024,2,17,1,0
2024,2,17,2,0
2024,2,17,3,0
2024,2,17,4,0
2024,2,17,5,0
2024,2,17,6,0
2024,2,17,7,30.86
2024,2,17,8,27.3
2024,2,17,9,35.28
2024,2,17,10,25.76
2024,2,17,11,9.69
2024,2,17,12,1.15
2024,2,17,13,30.86
2024,2,17,14,14.17
2024,2,17,15,17.58
2024,2,17,16,18.84
2024,2,17,17,6.08
2024,2,17,18,0
2024,2,17,19,0
2024,2,17,20,0
2024,2,17,21,0
2024,2,17,22,0
2024,2,17,23,0
2024,2,18,0,0
2024,2,18,1,0
2024,2,18,2,0
2024,2,18,3,0
2024,2,18,4,0
2024,2,18,5,0
2024,2,18,6,0
2024,2,18,7,0
2024,2,18,8,9.4
2024,2,18,9,37.47
2024,2,18,10,53.88
2024,2,18,11,242.81
2024,2,18,12,374.37
2024,2,18,13,565.35
2024,2,18,14,438.44
2024,2,18,15,329.03
2024,2,18,16,183.24
2024,2,18,17,41.93
2024,2,18,18,0
2024,2,18,19,0
2024,2,18,20,0
2024,2,18,21,0
2024,2,18,22,0
2024,2,18,23,0
2024,2,19,0,0
